Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SAIC,United States,Technology,EDP Services,5.4,4.57,0.13,0.13,0.13,4,1.31,3.25,0.18,144000000,0.699481865,0.618668596,0.53626943,0.551374819,0.741935484,0.817204301,7.4,Regular growth
SAI.TECH Global Corporation Class A Ordinary Shares,SAI,Singapore,Technology,EDP Services,,-0.63,-42.45,-42.45,-42.45,3,0.02,0.8,-0.44,,0.010362694,0.015918958,0.015544041,0.008683068,0.446236559,0.190860215,,Underperformer
Sabre Corporation,SABR,United States,Technology,Computer Software: Programming Data Processing,-1.4,-2.94,0.53,-2.65,0.33,4,-3.8,0.71,0.5,38759000,0.166666667,0.131693198,0.805555556,0.760492041,0.352941176,0.057142857,-3.2,Underperformer
SentinelOne Inc. Class A,S,United States,Technology,EDP Services,-1.4,-1.16,0.13,-0.75,-0.54,4,0.02,1.68,-0.23,-15228000,0.357512953,0.280752533,0.53626943,0.551374819,0.60483871,0.190860215,-0.8,Regular growth
Rackspace Technology Inc.,RXT,United States,Technology,EDP Services,-3.8,-2.08,-2.63,-0.54,0.23,4,-19.92,0.09,-1.28,239300000,0.424870466,0.322720695,0.134715026,0.102749638,0.260752688,0.005376344,-1.7,Regular growth
Rumble Inc. Class A,RUM,United States,Technology,Computer Software: Prepackaged Software,-0.1,-0.04,0.35,-3.93,-2.47,4,0.01,0.86,-0.03,-29183455,0.098445596,0.081041968,0.751295337,0.686685962,0.462765957,0.14893617,0.6,Underperformer
Riskified Ltd. Class A Ordinary Shares,RSKD,,Technology,EDP Services,-0.6,-1.01,0.74,-10.19,0.2,4,0.06,2.43,-0.21,3667000,0.031088083,0.03617945,0.839378238,0.832127352,0.688172043,0.319892473,-0.4,Underperformer
Rapid7 Inc.,RPD,United States,Technology,Computer Software: Prepackaged Software,-2.1,-2.24,0.2,-0.31,-0.37,4,-6.33,0.46,1.04,-582000,0.468911917,0.405209841,0.621761658,0.603473227,0.356382979,0.026595745,-1.9,Regular growth
Repay Holdings Corporation Class A,RPAY,United States,Technology,EDP Services,0.1,-0.83,1.2,0.95,0.95,4,0.49,1.28,0.01,13941000,0.901554404,0.863241679,0.937823834,0.9276411,0.545698925,0.615591398,0.2,Outperformer
RingCentral Inc. Class A,RNG,United States,Technology,EDP Services,-9.2,-4.76,-1.25,-1.69,-1.25,4,-3.76,4.77,1.82,69962000,0.233160622,0.17366136,0.202072539,0.170767004,0.827956989,0.048387097,-3.2,Underperformer
Rambus Inc.,RMBS,United States,Technology,Semiconductors,-0.1,-0.11,-1.81,0.05,0.53,4,0.03,4.27,-0.02,43693000,0.365591398,0.553545586,0.075268817,0.134587554,0.533333333,0.230337079,-0.6,Regular growth
RumbleOn Inc. Class B,RMBL,United States,Technology,EDP Services,-16.5,-9.78,-10.69,-3.03,0.72,4,4.53,5.64,-1.27,-15522000,0.142487047,0.109261939,0.062176166,0.02894356,0.857526882,0.951612903,-2,Underperformer
Rigetti Computing Inc.,RGTI,United States,Technology,Retail: Computer Software & Peripheral Equipment,-0.7,-0.47,-2.05,-0.77,-0.77,3,0.3,0.67,-0.48,-6316000,0.317073171,0.278581766,0.146341463,0.124457308,0.365853659,0.585365854,0.1,Regular growth
RF Industries Ltd.,RFIL,United States,Technology,Electrical Products,0.1,0.25,-0.77,30.62,30.62,3,0.75,2.21,0.03,-658000,1,0.989869754,0.133333333,0.23154848,0.166666667,0.896551724,-0.1,Outperformer
Remitly Global Inc.,RELY,United States,Technology,Computer Software: Prepackaged Software,-0.7,-0.51,-0.06,-0.52,-0.06,4,0.03,2.31,-0.24,29738000,0.362694301,0.331403763,0.437823834,0.450072359,0.638297872,0.239361702,-0.2,Regular growth
Richardson Electronics Ltd.,RELL,United States,Technology,Electronic Components,1.6,0.99,0.18,4.29,1.79,4,0.01,9.27,0.14,-126000,0.956521739,0.955137482,0.47826087,0.589725036,0.727272727,0.260869565,0.2,Outperformer
Research Frontiers Incorporated,REFR,United States,Technology,Industrial Machinery/Components,-0.1,-0.07,-0.33,0.09,0.14,4,0.08,0.11,-0.56,-523363,0.427374302,0.589001447,0.32122905,0.354558611,0.111731844,0.252808989,-0.7,Regular growth
Radware Ltd. Ordinary Shares,RDWR,Israel,Technology,EDP Services,0,0.12,-1.02,-0.6,-0.57,4,0.06,4.75,0,-10913000,0.398963731,0.308972504,0.225388601,0.191751085,0.822580645,0.319892473,0.9,Regular growth
Red Violet Inc. ,RDVT,United States,Technology,Computer Software: Prepackaged Software,0,-0.16,-0.2,0.45,0.45,4,0.03,2.79,0.01,3330000,0.873056995,0.773516643,0.373056995,0.392908828,0.659574468,0.239361702,0.8,Regular growth
Radcom Ltd. Ordinary Shares,RDCM,Israel,Technology,Computer peripheral equipment,-0.2,-0.27,0.57,0.24,0.42,4,0.02,,-0.03,,0.6875,0.696816208,0.8125,0.782199711,,0.21875,,Regular growth
Recruiter.com Group Inc.,RCRT,United States,Technology,EDP Services,-18.3,-59.35,0.36,0.57,0.58,4,2.53,-4.89,-3.24,-159784,0.875647668,0.817655572,0.647668394,0.688856729,0.032258065,0.897849462,-12.8,Regular growth
Roblox Corporation Class A,RBLX,United States,Technology,EDP Services,-1.6,-1,-0.6,-1.39,-1.05,4,13.64,0.28,-3.03,59508000,0.251295337,0.201881331,0.29015544,0.274240232,0.317204301,0.983870968,-0.4,Regular growth
Ribbon Communications Inc.,RBBN,United States,Technology,EDP Services,-0.6,-0.41,0.47,-0.33,0.47,4,0.68,0.38,-0.19,-14155000,0.487046632,0.397250362,0.696891192,0.735166425,0.333333333,0.682795699,0.2,Regular growth
LiveRamp Holdings Inc.,RAMP,United States,Technology,EDP Services,-1.8,-1.22,-2.58,-0.56,0.26,4,0.05,3.5,-0.13,35951000,0.417098446,0.31910275,0.139896373,0.104196816,0.758064516,0.295698925,-0.5,Regular growth
QuickLogic Corporation,QUIK,United States,Technology,Semiconductors,-0.3,-0.68,0.4,0.45,0.44,4,1.15,0.43,-0.36,-312000,0.580645161,0.773516643,0.666666667,0.701881331,0.177777778,0.842696629,-0.7,Regular growth
Quantum Computing Inc.,QUBT,United States,Technology,Computer Software: Prepackaged Software,-0.7,-0.84,0.28,0.14,0.23,4,0.07,0,-0.52,-6429543,0.751295337,0.624457308,0.683937824,0.646888567,0.207446809,0.337765957,-0.8,Regular growth
Q2 Holdings Inc.,QTWO,United States,Technology,Computer Software: Prepackaged Software,-1.9,-2.18,0.05,-0.14,0.05,4,1.24,3.76,-0.26,9284000,0.562176166,0.470332851,0.505181347,0.505065123,0.787234043,0.853723404,-2,Regular growth
Qorvo Inc.,QRVO,United States,Technology,Semiconductors,1,5.53,-0.89,0.28,0.47,4,0.54,16.25,0.03,5420000,0.516129032,0.709117221,0.182795699,0.210564399,0.877777778,0.707865169,4.7,Regular growth
Quantum Corporation,QMCO,United States,Technology,Electronic Components,-0.4,-0.6,0.24,-1.45,0.24,4,-1.18,0.07,0.44,-12954000,0.130434783,0.191027496,0.630434783,0.626628075,0.090909091,0.173913043,-1.2,Underperformer
Qualys Inc.,QLYS,United States,Technology,EDP Services,2.7,2.25,0.55,0.23,0.34,4,0.1,5.21,0.37,90630000,0.766839378,0.691751085,0.751295337,0.769898698,0.838709677,0.370967742,8.5,Regular growth
QUALCOMM Incorporated,QCOM,United States,Technology,Radio And Television Broadcasting And Communications Equipment,,7.92,0.44,0.59,0.59,4,0.71,11.52,0.34,3797000000,0.75,0.82633864,0.625,0.721418234,0.875,0.833333333,,Regular growth
D-Wave Quantum Inc. Common Shares,QBTS,,Technology,Retail: Computer Software & Peripheral Equipment,-0.4,-0.27,-0.5,-1.32,-1.32,3,5.23,0.1,8.35,-16963000,0.195121951,0.209117221,0.243902439,0.301013025,0.243902439,1,0.7,Regular growth
Paycor HCM Inc.,PYCR,United States,Technology,Computer Software: Prepackaged Software,-0.5,-0.6,0.23,0.03,0.07,4,0.01,0.45,-0.07,-40830000,0.660621762,0.544862518,0.637305699,0.617221418,0.340425532,0.14893617,-0.1,Regular growth
Pixelworks Inc. ,PXLW,United States,Technology,Semiconductors,-0.3,-0.44,0.21,-0.36,0.21,4,0.08,0.96,-0.22,-3916000,0.225806452,0.386396527,0.596774194,0.60853835,0.277777778,0.337078652,-1.1,Regular growth
PowerSchool Holdings Inc. Class A,PWSC,United States,Technology,Computer Software: Prepackaged Software,-0.1,-0.21,0.38,0.39,0.38,4,0.49,-0.29,-0.01,210972000,0.860103627,0.758321274,0.764248705,0.696092619,0.159574468,0.664893617,0.3,Regular growth
PubMatic Inc. Class A,PUBM,United States,Technology,Computer Software: Prepackaged Software,0.5,0.65,-0.5,0.99,1.17,4,0.08,3.17,0.09,17167000,0.937823834,0.870477569,0.274611399,0.301013025,0.696808511,0.356382979,2.3,Outperformer
PTC Inc.,PTC,United States,Technology,Computer Software: Prepackaged Software,,2.6,-0.34,1.13,1.13,4,0.71,3.52,0.09,43190000,0.943005181,0.882778582,0.329015544,0.347322721,0.755319149,0.747340426,,Outperformer
Pure Storage Inc. Class A,PSTG,,Technology,Electronic Components,0.2,-0.44,1.46,0.55,0.52,4,0.23,3.23,0.08,113370000,0.543478261,0.808972504,0.913043478,0.937771346,0.5,0.47826087,-2.7,Regular growth
Parsons Corporation,PSN,United States,Technology,EDP Services,0.9,0.81,0.47,-0.06,-0.25,4,0.44,4.25,0.05,190659000,0.588082902,0.505788712,0.696891192,0.735166425,0.795698925,0.586021505,2.9,Regular growth
Privia Health Group Inc.,PRVA,United States,Technology,Retail: Computer Software & Peripheral Equipment,-0.1,-0.54,0.96,-1.09,0.96,4,0.02,2.57,-0.02,22443000,0.219512195,0.228654124,0.902439024,0.894356006,0.682926829,0.243902439,1.2,Regular growth
Presto Automation Inc.,PRST,United States,Technology,EDP Services,-0.7,-0.95,0.33,-0.3,-0.13,4,-1.59,-0.78,0.76,-11806000,0.502590674,0.410274964,0.632124352,0.671490593,0.096774194,0.059139785,0.3,Regular growth
Peraso Inc.,PRSO,United States,Technology,Semiconductors,-1.6,-1.41,0.13,-0.27,0.13,4,0.06,0.23,-2.12,-2055000,0.258064516,0.423299566,0.537634409,0.551374819,0.15,0.314606742,-2.7,Regular growth
PROS Holdings Inc.,PRO,United States,Technology,EDP Services,-1.8,-1.81,0.01,-0.02,-0.03,4,-5.9,0.84,2.32,8373000,0.60880829,0.519536903,0.476683938,0.476845152,0.456989247,0.021505376,0.2,Regular growth
Progress Software Corporation (DE),PRGS,United States,Technology,Computer Software: Prepackaged Software,2.1,1.89,0.22,0.11,0.11,3,1.75,-0.5,0.24,44829000,0.740932642,0.607091172,0.626943005,0.612156295,0.122340426,0.888297872,0.9,Regular growth
Perficient Inc.,PRFT,United States,Technology,EDP Services,2.9,1.78,0.93,0.45,0.61,4,0.82,6.47,0.25,23373000,0.839378238,0.773516643,0.896373057,0.889290883,0.892473118,0.715053763,6.8,Regular growth
Porch Group Inc.,PRCH,United States,Technology,Computer Software: Prepackaged Software,-1.6,-1.56,-0.39,-0.17,-0.39,4,-11.69,0.41,-1.97,81383000,0.538860104,0.458031838,0.316062176,0.335021708,0.324468085,0.005319149,-2.6,Regular growth
Power Integrations Inc.,POWI,United States,Technology,Semiconductors,2.9,2.26,0.1,0.25,0.1,4,0,8.76,0.23,19196000,0.494623656,0.699710564,0.521505376,0.531837916,0.7,0.039325843,4.3,Regular growth
POET Technologies Inc. Common Shares,POET,Canada,Technology,Semiconductors,-0.6,-0.55,-0.27,-0.65,-0.27,4,0.05,0.08,-1.84,-5099581,0.150537634,0.298118669,0.387096774,0.373371925,0.1,0.286516854,-1.2,Underperformer
Plexus Corp.,PLXS,United States,Technology,Electrical Products,5,4.86,0.02,0.08,0.02,4,0.39,31.26,0.11,-11474000,0.266666667,0.578147612,0.483333333,0.486251809,0.933333333,0.5,6.8,Regular growth
ePlus inc.,PLUS,United States,Technology,Retail: Computer Software & Peripheral Equipment,4.5,3.73,0.14,0.21,0.14,4,0.26,20.79,0.15,29326000,0.768292683,0.68089725,0.609756098,0.558610709,0.926829268,0.475609756,11.3,Regular growth
Palantir Technologies Inc. Class A,PLTR,United States,Technology,Retail: Computer Software & Peripheral Equipment,-0.2,-0.55,0.33,0.21,0.33,4,0.07,1.43,-0.14,131878000,0.768292683,0.68089725,0.731707317,0.671490593,0.56097561,0.37804878,1,Regular growth
Playtika Holding Corp.,PLTK,Israel,Technology,EDP Services,0.7,0.55,-0.08,0.53,-0.08,4,-8.97,1.83,-0.48,87100000,0.857512953,0.796671491,0.445595855,0.442836469,0.612903226,0.016129032,2.6,Regular growth
Photronics Inc.,PLAB,United States,Technology,Semiconductors,1.9,1.12,1.18,0.94,0.94,3,0.02,9.49,0.11,64794000,0.720430108,0.860347323,0.903225806,0.926193922,0.711111111,0.162921348,2.3,Regular growth
Pinterest Inc. Class A,PINS,United States,Technology,Computer Software: Programming Data Processing,-0.1,0.03,-1.3,0.91,0.93,4,0.06,4.06,-0.03,107525000,0.888888889,0.8552822,0.305555556,0.164978292,0.735294118,0.228571429,0.3,Outperformer
Impinj Inc.,PI,United States,Technology,Industrial Machinery/Components,-0.9,-1.78,0.55,-0.18,0.07,4,8.48,8.85,-1.56,-4475000,0.25698324,0.453690304,0.776536313,0.769898698,0.675977654,0.983146067,-2.7,Regular growth
Phunware Inc.,PHUN,Greece,Technology,EDP Services,-0.5,-0.57,0.28,-0.19,-0.42,4,1.35,-0.1,-2.05,-3307000,0.525906736,0.446454414,0.616580311,0.646888567,0.193548387,0.833333333,-0.4,Regular growth
Wag! Group Co.,PET,United States,Technology,EDP Services,-2.1,-0.91,-11.44,-5.38,-5.38,3,7.26,0.43,-3.98,-2306000,0.077720207,0.060781476,0.056994819,0.027496382,0.346774194,0.967741935,-0.1,Underperformer
Perion Network Ltd. Ordinary Shares,PERI,Israel,Technology,EDP Services,2.1,1.15,1.02,0.86,1.02,4,0.01,9.22,0.17,39943000,0.893782383,0.852387844,0.911917098,0.902315485,0.935483871,0.147849462,8.2,Outperformer
Perfect Corp. Class A Ordinary Share,PERF,,Technology,Computer Software: Prepackaged Software,-1.4,-0.91,-0.03,-9.63,-1.82,4,0,1.59,-0.89,,0.046632124,0.040520984,0.46373057,0.46382055,0.574468085,0.098404255,-0.8,Underperformer
Pegasystems Inc.,PEGA,United States,Technology,EDP Services,-4.2,-1.92,-4.48,-1.39,-0.01,4,3.48,3.64,-2.64,23830000,0.251295337,0.201881331,0.10880829,0.066570188,0.768817204,0.935483871,-0.9,Regular growth
PDF Solutions Inc.,PDFS,United States,Technology,Computer Software: Prepackaged Software,-0.1,-0.61,0.84,-1.51,0.5,4,0.03,2.91,-0.02,16120000,0.20984456,0.187409551,0.89119171,0.871924747,0.680851064,0.239361702,0,Underperformer
PagerDuty Inc.,PD,,Technology,Retail: Computer Software & Peripheral Equipment,-1.4,-1.2,-0.14,-0.24,-0.14,4,2.65,4.6,-0.53,15231000,0.536585366,0.434153401,0.487804878,0.421852388,0.829268293,0.951219512,-0.4,Regular growth
Park City Group Inc.,PCYG,United States,Technology,EDP Services,0.3,0.21,0.5,1.03,0.5,4,0.01,1.26,0.12,1520770,0.911917098,0.875542692,0.720207254,0.747467438,0.537634409,0.147849462,2.8,Outperformer
Paylocity Holding Corporation,PCTY,United States,Technology,Computer Software: Prepackaged Software,2.5,1.79,0.55,0.31,0.28,4,0.07,5.56,0.17,44495000,0.844559585,0.73154848,0.813471503,0.769898698,0.85106383,0.337765957,7.2,Regular growth
PCTEL Inc.,PCTI,United States,Technology,Radio And Television Broadcasting And Communications Equipment,0.1,0.12,14,4.32,-0.1,4,0.05,2.69,0.04,777000,0.958333333,0.95658466,0.958333333,0.989869754,0.625,0.354166667,-0.4,Outperformer
Procore Technologies Inc.,PCOR,United States,Technology,Computer Software: Prepackaged Software,-2.1,-1.93,0.27,-0.8,-0.16,4,0.08,1.97,-0.26,22459000,0.310880829,0.274963821,0.670984456,0.641099855,0.609042553,0.356382979,-2.2,Regular growth
Powerbridge Technologies Co. Ltd. Ordinary Shares,PBTS,China,Technology,EDP Services,,-208.8,0.83,0.48,0.48,4,0.12,0.26,-0.21,,0.849740933,0.779305355,0.873056995,0.866859624,0.301075269,0.403225806,,Regular growth
Payoneer Global Inc.,PAYO,United States,Technology,EDP Services,0,-0.14,0.91,-13.26,-3.7,4,0.02,1.5,-0.02,27094000,0.025906736,0.030390738,0.888601036,0.884949349,0.569892473,0.190860215,1,Underperformer
Paycom Software Inc.,PAYC,,Technology,Computer Software: Prepackaged Software,4.8,3.56,0.44,0.2,0.37,4,0.02,7.87,0.24,46291000,0.800518135,0.671490593,0.792746114,0.721418234,0.904255319,0.196808511,13.5,Regular growth
Paymentus Holdings Inc. Class A,PAY,,Technology,Computer Software: Prepackaged Software,0,0.04,-1.07,-0.43,-0.18,4,0.02,1.58,0,4257000,0.404145078,0.356729378,0.165803109,0.185238784,0.569148936,0.196808511,0.5,Regular growth
UiPath Inc. Class A,PATH,United States,Technology,Computer Software: Prepackaged Software,-0.6,-0.65,0.48,-1.4,0.48,4,0.03,3.18,-0.17,41172000,0.227979275,0.198986975,0.797927461,0.73878437,0.704787234,0.239361702,-0.3,Underperformer
Palo Alto Networks Inc.,PANW,United States,Technology,Computer peripheral equipment,1.3,-0.45,2.42,0.67,0.48,4,1.02,-3.33,0.25,376900000,0.875,0.83357453,1,0.968885673,0.133333333,0.8125,0.1,Regular growth
Ouster Inc.,OUST,United States,Technology,Industrial Machinery/Components,-7.8,-24.87,-0.11,-0.1,-0.11,4,0.35,4.87,-0.81,-27885000,0.284916201,0.487698987,0.393854749,0.432706223,0.536312849,0.480337079,-22.9,Regular growth
Ontrak Inc.,OTRK,United States,Technology,Retail: Computer Software & Peripheral Equipment,-15.6,-13.02,-0.05,-0.23,-0.05,4,-3.09,0.31,-9.08,-1887000,0.56097561,0.437047757,0.512195122,0.455861071,0.292682927,0.097560976,-23.7,Regular growth
Otonomo Technologies Ltd. Ordinary shares,OTMO,Israel,Technology,Computer Software: Prepackaged Software,-14.2,-7.8,-1.11,-0.99,-1.11,4,0.01,11.54,-0.98,-11075000,0.274611399,0.249638205,0.160621762,0.182344428,0.941489362,0.14893617,-8.2,Regular growth
Otis Worldwide Corporation ,OTIS,,Technology,Consumer Electronics/Appliances,3,2.64,0.02,0.07,0.02,4,-1.67,0,-0.27,272000000,0.4375,0.569464544,0.5625,0.486251809,0.25,0.125,3.4,Regular growth
Ostin Technology Group Co. Ltd. Ordinary Shares,OST,China,Technology,Industrial Machinery/Components,0,0.15,-0.91,-0.38,-0.38,3,1.25,-0.63,0.01,,0.229050279,0.371924747,0.167597765,0.206946454,0.033519553,0.876404494,0,Regular growth
One Stop Systems Inc.,OSS,United States,Technology,Computer Manufacturing,-0.1,0,-1.92,101.03,0.99,4,0.11,1.68,-0.05,-1898038,1,0.995658466,0.1,0.125904486,0.666666667,0.5,0.6,Outperformer
OneSpan Inc.,OSPN,United States,Technology,EDP Services,-0.4,-0.42,0.53,-1.87,-1.64,4,0.03,1.33,-0.07,-10009000,0.202072539,0.157742402,0.735751295,0.760492041,0.553763441,0.228494624,0.5,Underperformer
OSI Systems Inc. (DE),OSIS,United States,Technology,Semiconductors,5.3,5.27,-0.17,0.14,0,4,0.52,15.33,0.13,7751000,0.408602151,0.624457308,0.419354839,0.406657019,0.855555556,0.696629213,6.1,Regular growth
Oracle Corporation,ORCL,United States,Technology,Computer Software: Prepackaged Software,3.1,3.34,0.27,0.09,0.27,4,31.31,-1.17,5.46,5660000000,0.720207254,0.589001447,0.670984456,0.641099855,0.10106383,0.989361702,1.1,Regular growth
Optex Systems Holdings Inc.,OPXS,United States,Technology,Electronic Components,0.2,0.16,-0.11,0.09,0.09,3,0.32,1.81,0.1,-562000,0.304347826,0.589001447,0.347826087,0.432706223,0.318181818,0.52173913,-0.7,Regular growth
Opera Limited American Depositary Shares,OPRA,Norway,Technology,Computer Software: Prepackaged Software,0.1,0.5,2,0.97,2,4,0.01,1.57,0.02,14303000,0.932642487,0.867583213,0.979274611,0.958755427,0.561170213,0.14893617,3.1,Outperformer
OppFi Inc. Class A,OPFI,,Technology,EDP Services,0.1,2.17,-0.9,-0.16,-0.9,4,1.9,31.33,0.04,72768000,0.538860104,0.461649783,0.233160622,0.208393632,0.989247312,0.876344086,2.5,Regular growth
Ooma Inc.,OOMA,United States,Technology,EDP Services,-0.1,-0.11,-1.14,0.03,0.36,4,0.18,0.93,-0.06,1408000,0.634715026,0.544862518,0.207253886,0.179450072,0.489247312,0.432795699,0.6,Regular growth
ON24 Inc.,ONTF,United States,Technology,Computer Software: Prepackaged Software,-1.2,-0.57,-1.16,-2.44,-1.16,4,0.03,3.77,-0.19,-3204000,0.160621762,0.139652677,0.155440415,0.176555716,0.792553191,0.239361702,-0.1,Underperformer
Onfolio Holdings Inc.,ONFO,United States,Technology,Computer Software: Programming Data Processing,-1.4,-0.61,-7.69,-3.58,-3.58,3,0.44,0.1,-0.34,-604621,0.138888889,0.092619392,0.055555556,0.041968162,0.117647059,0.657142857,-0.1,Underperformer
Ondas Holdings Inc.,ONDS,United States,Technology,Radio And Television Broadcasting And Communications Equipment,-1.7,-0.94,-2.93,-0.73,0.33,4,0.59,-0.1,-1.26,-6286416,0.375,0.283646889,0.166666667,0.096960926,0.166666667,0.791666667,-0.4,Regular growth
ON Semiconductor Corporation,ON,United States,Technology,Semiconductors,4.2,2.36,0.87,1.34,0.87,4,0.46,5.87,0.31,133600000,0.801075269,0.894356006,0.860215054,0.878437048,0.6,0.657303371,4.4,Outperformer
OMNIQ Corp.,OMQS,United States,Technology,EDP Services,-1.8,-2.17,0.17,-0.18,0.12,4,-0.8,-5.47,1.3,-1884000,0.533678756,0.453690304,0.564766839,0.581765557,0.02688172,0.080645161,-0.8,Regular growth
Omnicell Inc. ($0.001 par value),OMCL,United States,Technology,Computer Manufacturing,0.1,0.83,-0.93,-0.07,-0.48,4,0.51,12.04,0,42820000,0.3,0.501447178,0.4,0.204052098,0.888888889,0.8,1,Regular growth
